,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
1686,The Tiny Book Show,Installations,Feb 19 2016,Mar 10 2016,20,"Nutley, NJ",$,9749,8888,230
1687,Rebellion - Broken Dolls vol. 2 Zine,Illustration,Mar 12 2019,Apr 11 2019,30,"Des Moines, IA",$,836,800,22
1688,"Mothers' Voices: A ""Rematriated"" Adoptee's Art Residency",Art,May 14 2017,Jun 13 2017,30,"Newark, NJ",$,6755,6000,84
1689,Love Sewing Enamel Pins by Glimmerwood,Art,Mar 4 2019,Mar 28 2019,24,"Los Angeles, CA",$,1492,900,55
1690,Chaud Cacáo by The Mischievous,Art,Mar 1 2019,Mar 31 2019,30,"France, France",€,1342,1300,21
1691,Micòl Ceramics: Make My Dream Studio a Reality!,Ceramics,Feb 11 2017,Mar 14 2017,31,"Brooklyn, NY",$,6093,6000,77
1692,Luxembourg Art Prize,Art,Apr 21 2019,May 5 2019,14,"Bottrop, Germany",€,209,70,3
1693,Horror Icon Busts and Masks,Sculpture,Jan 17 2015,Feb 16 2015,30,"Lynn, MA",$,1000,1000,5
1694,Little Free Library Project for Highams Park,Social Practice,Sep 26 2014,Oct 26 2014,30,"London, UK",£,969,300,39
1695,Emily Joy's First Full Length Spoken Word Poetry Album,Performance Art,Oct 1 2014,Oct 31 2014,30,"Nashville, TN",$,10111,10000,110
1696,A clinic for eco-anxiety,Art,Jan 15 2018,Feb 2 2018,17,"Glasgow, UK",£,1195,1000,60
1697,Bang Bang Gun Amok II: A Filibuster on Gun Culture,Performance Art,Nov 14 2018,Dec 15 2018,30,"New York, NY",$,5531,5000,99
1698,String Theory Dome,Art,Jul 12 2012,Aug 1 2012,20,"Black Rock City, NV",$,800,800,26
1699,Science on your plate - fun and colourful tableware for kids,Illustration,Aug 21 2019,Sep 9 2019,19,"Liverpool, UK",£,1097,500,36
1700,Brøg: Københavns første litteraturbar,Art,Dec 6 2018,Jan 5 2019,30,"Copenhagen, Denmark",DKK,248031,232000,268
1701,Candy Cats Creatures,Art,Mar 28 2016,Apr 27 2016,30,"Indio, CA",$,431,100,14
1702,Silence and Wings: A Soundwave Enamel Pin,Art,Mar 27 2019,Apr 26 2019,30,"San Diego, CA",$,1254,1100,49
1703,Art Fallout 2010: A Day for Contemporary Art in downtown Fort Lauderdale,Art,Sep 22 2010,Oct 16 2010,24,"Fort Lauderdale, FL",$,1274,1000,32
1704,Breathe New Life Into the WNY Book Arts Center!,Illustration,Sep 6 2010,Oct 6 2010,30,"Buffalo, NY",$,5601,5000,125
1705,Aurora Palo Alto,Public Art,Nov 2 2013,Nov 26 2013,23,"Palo Alto, CA",$,36155,35000,445
1706,Gravy Toys We Made Lonny,Sculpture,Mar 26 2014,Apr 23 2014,28,"Portland, OR",$,13522,6000,128
1707,Rock n' Roll Digital Art,Digital Art,Apr 23 2019,Jun 22 2019,60,"Kansas City, MO",$,343,320,10
1708,Shipwreck Tiki Lounge - Burning Man 2014,Public Art,Jun 12 2014,Jul 12 2014,30,"Black Rock City, NV",$,2058,1500,37
1709,Cucalorus 25,Video Art,Jul 17 2019,Aug 15 2019,29,"Wilmington, NC",$,48956,48000,341
